Player,Position,Score,Value over Avg,Value over Next
Greg Jennings Mia WR,WR,0.00,-199.59,0.00
Devin Hester Atl WR P,WR,0.00,-199.59,0.00
Derek Hagan Ten WR,WR,0.00,-199.59,0.00
Jason Avant KC WR,WR,0.00,-199.59,0.00
Marques Colston NO WR Q,WR,0.00,-199.59,0.00
Miles Austin Phi WR,WR,0.00,-199.59,0.00
Calvin Johnson Det WR,WR,0.00,-199.59,0.00
Dwayne Bowe Cle WR,WR,0.00,-199.59,0.00
Jacoby Jones Pit WR,WR,0.00,-199.59,0.00
Colin Kaepernick SF QB P,QB,64.66,-204.58,7.66
Case Keenum LA QB,QB,57.00,-212.24,3.89
Paxton Lynch Den QB,QB,53.10,-216.14,2.32
Carson Wentz Phi QB Q,QB,50.78,-218.46,7.97
Josh McCown Cle QB,QB,42.81,-226.43,24.84
Geno Smith NYJ QB,QB,17.97,-251.27,1.61
Chase Daniel Phi QB,QB,16.36,-252.88,1.15
Brian Hoyer Chi QB,QB,15.21,-254.03,8.28
Drew Stanton Ari QB,QB,6.93,-262.31,0.54
EJ Manuel Buf QB,QB,6.40,-262.84,0.66
Matt Cassel Ten QB,QB,5.73,-263.51,4.28
Scott Tolzien Ind QB,QB,1.46,-267.78,0.34
Dan Orlovsky Det QB,QB,1.11,-268.13,0.04
Luke McCown NO QB,QB,1.07,-268.17,0.03
Matt Schaub Atl QB,QB,1.04,-268.20,0.00
Ryan Mallett Bal QB,QB,1.04,-268.20,0.01
Matt Moore Mia QB Q,QB,1.03,-268.21,0.00
Colt McCoy Wsh QB,QB,1.02,-268.22,0.00
Ryan Nassib NYG QB,QB,1.02,-268.22,0.01
Chad Henne Jax QB,QB,1.01,-268.23,0.05
Mike Glennon TB QB,QB,0.96,-268.28,0.02
Nick Foles KC QB,QB,0.94,-268.30,0.02
Derek Anderson Car QB,QB,0.92,-268.32,0.00
Shaun Hill Min QB,QB,0.92,-268.32,0.92
Kellen Clemens SD QB,QB,0.00,-269.24,0.00
Tarvaris Jackson Sea QB,QB,0.00,-269.24,0.00
Charlie Whitehurst Ind QB P,QB,0.00,-269.24,0.00
Bruce Gradkowski Pit QB D,QB,0.00,-269.24,0.00
Josh Johnson Bal QB,QB,0.00,-269.24,0.00
Matt Flynn NO QB,QB,0.00,-269.24,0.00
Josh Freeman Ind QB,QB,0.00,-269.24,0.00
Jimmy Clausen Bal QB,QB,0.00,-269.24,0.00
Tim Tebow FA QB,QB,0.00,-269.24,0.00
Dan LeFevour TB QB,QB,0.00,-269.24,0.00
Joe Webb Car QB,QB,0.00,-269.24,0.00
Thaddeus Lewis* SF QB IR,QB,0.00,-269.24,0.00
Christian Ponder SF QB,QB,0.00,-269.24,0.00
T.J. Yates Hou QB Q,QB,0.00,-269.24,0.00
Jerrod Johnson Bal QB,QB,0.00,-269.24,0.00
Brandon Weeden Hou QB,QB,0.00,-269.24,0.00
Kellen Moore* Dal QB O,QB,0.00,-269.24,0.00
Ryan Lindley Ind QB,QB,0.00,-269.24,0.00
Austin Davis Cle QB,QB,0.00,-269.24,0.00
Matt Simms Atl QB,QB,0.00,-269.24,0.00
Alex Tanney Ten QB,QB,0.00,-269.24,0.00
Sean Renfree Atl QB,QB,0.00,-269.24,0.00
